v30,,,,SL,*,F,v30,*,*,*,*
백효정,,,,NNP,*,T,백효정,Compound,*,*,백/NNP/*+효정/NNP/*
킨더스펠,,,,NNP,*,T,킨더스펠,*,*,*,*
테라피,,,,NNG,*,F,테라피,*,*,*,*
핀핀,,,,NNP,*,T,핀핀,*,*,*,*
엘레니어,,,,NNP,*,F,엘레니어,*,*,*,*
s8+,,,,NNG,*,F,s8+,Preanalysis,NNG,NNG,s8/NNG/*+플러스/NNG/*
푸르미,,,,NNP,*,F,푸르미,*,*,*,*
쓰레기봉투,,,,NNG,*,F,쓰레기봉투,Preanalysis,NNG,NNG,쓰레기/NNG/*+봉투/NNG/*
머스타드,,,,NNG,*,F,머스타드,*,*,*,*
셋트,,,,NNG,*,F,셋트,*,*,*,*
쉬폰,,,,NNG,*,T,쉬폰,*,*,*,*
어뎁터,,,,NNG,*,F,어뎁터,*,*,*,*
레플,,,,NNG,*,T,레플,*,*,*,*
야채,,,,NNG,*,F,야채,*,*,*,*
성신여대역,,,,NNG,*,T,성신여대역,Compound,*,*,성신/NNG/*+여대/NNG/*+역/NNG/*
오가닉,,,,NNG,*,T,오가닉,*,*,*,*
루비통,,,,NNP,*,T,루비통,*,*,*,*
랜슬럿,,,,NNP,*,T,랜슬럿,*,*,*,*
스파오,,,,NNP,*,F,스파오,*,*,*,*
감성여행,,,,NNG,*,T,감성여행,Preanalysis,NNG,NNG,감성/NNG/*+여행/NNG/*
금강제화,,,,NNP,*,F,금강제화,*,*,*,*
전기장판,,,,NNG,*,T,전기장판,Preanalysis,NNG,NNG,전기/NNG/*+장판/NNG/*
전기난로,,,,NNG,*,F,전기난로,Preanalysis,NNG,NNG,전기/NNG/*+난로/NNG/*
겐지아,,,,NNP,*,F,겐지아,*,*,*,*
러닝화,,,,NNG,*,F,런닝화,Compound,*,*,런닝/NNG/*+화/XSN/*
레티나,,,,SL,*,F,레티나,*,*,*,*
식기세척기,,,,NNG,*,F,식기세척기,Preanalysis,NNG,NNG,식기/NNG/*+세척기/NNG/*
마법천자문,,,,NNG,*,T,마법천자문,Preanalysis,NNG,NNG,마법/NNG/*+천자문/NNG/*
디카,,,,NNG,*,F,디지털카메라,Preanalysis,NNG,NNG,디지털/NNG/*+카메라/NNG/*
세발자전거,,,,NNG,*,F,세발자전거,Preanalysis,NNG,NNG,세발/NNG/*+자전거/NNG/*
구명조끼,,,,NNG,*,F,구명조끼,Preanalysis,NNG,NNG,구명/NNG/*+조끼/NNG/*
미싱기,,,,NNG,*,F,미싱기,Preanalysis,NNG,NNG,미싱/NNG/*+기/NNG/*
볼링,,,,NNG,*,T,볼링,*,*,*,*
티비장,,,,NNG,*,T,티비장,Preanalysis,NNG,NNG,티비/NNG/*+장/NNG/*
캐스키드슨,,,,NNP,*,T,캐스키드슨,Preanalysis,NNP,NNP,캐스/NNP/*+키드슨/NNP/*
브이알,,,,NNG,*,T,브이알,*,*,*,*
프라이기,,,,NNG,*,F,프라이어,Compound,*,*,프라이/NNG/*+어/NNG/*
다용도,,,,NNG,*,F,다용도,Compound,*,*,다/NNG/*+용도/NNG/*
컨덕터,,,,NNG,*,F,컨덕터,*,*,*,*
트리트먼트,,,,NNG,*,F,트리트먼트,*,*,*,*
루이까토즈,,,,NNP,*,F,루이까토즈,*,*,*,*
루이뷔똥,,,,NNP,*,T,루이뷔똥,*,*,*,*
페이보릿,,,,NNP,*,T,페이보릿,*,*,*,*
미니보덴,,,,NNP,*,T,미니보덴,Compound,*,*,미니/NNP/*+보덴/NNP/*
다글리,,,,NNP,*,F,다글리,*,*,*,*
시디플레이어,,,,NNG,*,F,시디플레이어,Preanalysis,NNG,NNG,시디/NNG/*+플레이어/NNG/*
플릇,,,,NNG,*,T,플릇,*,*,*,*
네일,,,,NNG,*,T,네일,*,*,*,*
레니본,,,,NNP,*,T,레니본,*,*,*,*
스팀다리미,,,,NNG,*,F,스팀다리미,Preanalysis,NNG,NNG,스팀/NNG/*+다리미/NNG/*
iittala,,,,SL,*,F,iittala,*,*,*,*
이딸라,,,,NNP,*,F,이딸라,*,*,*,*
센서티브,,,,NNP,*,F,센서티브,*,*,*,*
후라이어,,,,NNG,*,F,후라이어,Compound,*,*,후라이/NNG/*+어/NNG/*
디지털카메라,,,,NNG,*,F,디지털카메라,Preanalysis,NNG,NNG,디지털/NNG/*+카메라/NNG/*
쥐샥,,,,NNP,*,T,쥐샥,*,*,*,*
지샥,,,,NNP,*,T,지샥,*,*,*,*
자수,,,,NNG,*,F,자수,*,*,*,*
세컨스킨,,,,NNP,*,T,세컨스킨,*,*,*,*
베이비올,,,,NNP,*,T,베이비올,*,*,*,*
psp,,,,SL,*,F,psp,*,*,*,*
이동장,,,,NNG,*,T,이동장,Preanalysis,NNG,NNG,이동/NNG/*+장/NNG/*
의자,,,,NNG,*,F,의자,*,*,*,*
꼴레지앙,,,,NNP,*,T,꼴레지앙,*,*,*,*
년세,,,,NNG,*,F,년세,*,*,*,*
렌지다이,,,,NNG,*,F,렌지다이,Preanalysis,NNG,NNG,렌지/NNG/*+다이/NNG/*
청소기,,,,NNG,*,F,청소기,*,*,*,*
진공청소기,,,,NNG,*,F,진공청소기,Preanalysis,NNG,NNG,진공/NNG/*+청소기/NNG/*
슈콤마보니,,,,NNP,*,F,슈콤마보니,Compound,*,*,슈콤마/NNP/*+보니/NNP/*
잉글리쉬에그,,,,NNP,*,F,잉글리쉬에그,Preanalysis,NNP,NNP,잉글리쉬/NNP/*+에그/NNP/*
잉글리시에그,,,,NNP,*,F,잉글리시에그,Preanalysis,NNP,NNP,잉글리시/NNP/*+에그/NNP/*
씨엔타,,,,NNP,*,F,씨엔타,*,*,*,*
아프라모,,,,NNP,*,F,아프라모,*,*,*,*
로디니,,,,NNP,*,F,로디니,*,*,*,*
쇼퍼,,,,NNP,*,F,쇼퍼,*,*,*,*
냉난방기,,,,NNG,*,F,냉난방기,Compound,*,*,냉/NNG/*+난방/NNG/*+기/NNG/*
씨디,,,,NNP,*,F,씨디,*,*,*,*
인라인스케이트,,,,NNG,*,F,인라인스케이트,Preanalysis,NNG,NNG,인라인/NNG/*+스케이트/NNG/*
도깨비방망이,,,,NNG,*,F,도깨비방망이,Preanalysis,NNG,NNG,도깨비/NNG/*+방망이/NNG/*
커피메이커,,,,NNG,*,F,커피메이커,Preanalysis,NNG,NNG,커피/NNG/*+메이커/NNG/*
돌체구스토,,,,NNP,*,F,돌체구스토,Compound,*,*,돌체/NNP/*+구스토/NNP/*
전기밥솥,,,,NNG,*,T,전기밥솥,Preanalysis,NNG,NNG,전기/NNG/*+밥솥/NNG/*
콘에어,,,,NNP,*,F,콘에어,Compound,*,*,콘/NNP/*+에어/NNP/*
스텔리아,,,,NNP,*,F,스텔리아,*,*,*,*
어라운드이어,,,,NNP,*,F,어라운드이어,Compound,*,*,어라운드/NNP/*+이어/NNP/*
탄산수,,,,NNG,*,F,탄산수,Compound,*,*,탄산/NNG/*+수/NNG/*
제조기,,,,NNG,*,F,제조기,Compound,*,*,제조/NNG/*+기/NNG/*
제거기,,,,NNG,*,F,제거기,Compound,*,*,제거/NNG/*+기/NNG/*
가스레인지,,,,NNP,*,F,가스레인지,*,*,*,*
딤체,,,,NNP,*,F,딤체,*,*,*,*
보조기,,,,NNG,*,F,보조기,Compound,*,*,보조/NNG/*+기/NNG/*
토스트기,,,,NNG,*,F,토스트기,Compound,*,*,토스트/NNG/*+기/NNG/*
프라이,,,,NNG,*,F,프라이,*,*,*,*
프라이어,,,,NNG,*,F,프라이어,Compound,*,*,프라이/NNG/*+어/NNG/*
어그,,,,NNP,*,F,어그,*,*,*,*
토스터기,,,,NNG,*,F,토스터기,Compound,*,*,토스터/NNG/*+기/NNG/*
네비게이션,,,,NNP,*,T,네비게이션,*,*,*,*
함,,,,NNG,*,T,함,*,*,*,*
택포,,,,NNP,*,F,택포,*,*,*,*
한국,,,,NNP,*,T,한국,*,*,*,*
제조,,,,NNG,*,F,제조,*,*,*,*
죽,,,,NNG,*,T,죽,*,*,*,*
이동,,,,NNG,*,T,이동,*,*,*,*
손목,,,,NNG,*,T,손목,*,*,*,*
보호,,,,NNG,*,F,보호,*,*,*,*
제거,,,,NNG,*,F,제거,*,*,*,*
기저귀함,,,,NNG,*,T,기저귀함,Preanalysis,NNG,NNG,기저귀/NNG/*+함/NNG/*
터닝매카드,,,,NNP,*,F,터닝매카드,*,*,*,*
드라이기,,,,NNP,*,F,드라이기,*,*,*,*
정리함,,,,NNG,*,T,정리함,Preanalysis,NNG,NNG,정리/NNG/*+함/NNG/*
아이코스,,,,NNP,*,F,아이코스,*,*,*,*
아이스,,,,NNP,*,F,아이스,*,*,*,*
박스,,,,NNP,*,F,박스,*,*,*,*
족욕,,,,NNG,*,T,족욕,*,*,*,*
보조,,,,NNG,*,F,보조,*,*,*,*
마사지,,,,NNP,*,F,마사지,*,*,*,*
믹서기,,,,NNP,*,F,믹서기,Preanalysis,NNP,ETN,믹서/NNP/*+기/ETN/*
러닝머신,,,,NNP,*,T,러닝머신,*,*,*,*
런닝머신,,,,NNP,*,T,런닝머신,*,*,*,*
드래스,,,,NNP,*,F,드래스,*,*,*,*
선크림,,,,NNP,*,T,선크림,*,*,*,*
런닝,,,,NNP,*,T,런닝,*,*,*,*
머신,,,,NNP,*,T,머신,*,*,*,*
세트,,,,NNP,*,F,세트,*,*,*,*
네비,,,,NNP,*,F,네비,*,*,*,*
로렐라이,,,,NNP,*,F,로렐라이,*,*,*,*
컴바인,,,,NNP,*,T,컴바인,*,*,*,*
코데즈,,,,NNP,*,F,코데즈,*,*,*,*
디비디,,,,NNP,*,F,디비디,*,*,*,*
오븐,,,,NNP,*,T,오븐,*,*,*,*
믹서,,,,NNP,*,F,믹서,*,*,*,*
드라이,,,,NNP,*,F,드라이,*,*,*,*
탄산,,,,NNP,*,T,탄산,*,*,*,*
망치,,,,NNG,*,F,망치,*,*,*,*
좌욕,,,,NNG,*,T,좌욕,*,*,*,*
미싱,,,,NNP,*,T,미싱,*,*,*,*
후드,,,,NNP,*,F,후드,*,*,*,*
보풀,,,,NNP,*,T,보풀,*,*,*,*
플레이,,,,NNP,*,F,플레이,*,*,*,*
셀카,,,,NNP,*,F,셀카,*,*,*,*
파파스,,,,NNP,*,F,파파스,*,*,*,*
라빈스,,,,NNP,*,F,라빈스,*,*,*,*
베스킨,,,,NNP,*,T,베스킨,*,*,*,*
라이프,,,,NNP,*,F,라이프,*,*,*,*
미니멀,,,,NNP,*,T,미니멀,*,*,*,*
책꽃이,,,,NNG,*,F,책꽃이,*,*,*,*
책꽂이,,,,NNG,*,F,책꽂이,*,*,*,*
드릴,,,,NNP,*,T,드릴,*,*,*,*
웨어,,,,NNP,*,F,웨어,*,*,*,*
슈너글,,,,NNP,*,T,슈너글,*,*,*,*
타프,,,,NNP,*,F,타프,*,*,*,*
전동드릴,,,,NNG,*,T,전동드릴,Preanalysis,NNG,NNG,전동/NNG/*+드릴/NNG/*
i30,,,,SL,*,F,i30,*,*,*,*
가방,,,,NNG,*,T,가방,*,*,*,*
루이가또즈,,,,NNP,*,F,루이가또즈,*,*,*,*
s10,,,,SL,*,F,s10,*,*,*,*
s9,,,,SL,*,F,s9,*,*,*,*
s5,,,,SL,*,F,s5,*,*,*,*
